Date,DomainCountryCode,AverageDocTone,NumberOfArticles,Country,Lat,Lon,NATO,REGION,CONTINENT
2022-05-01,AE,-2.955268225,530,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-02,AE,-3.764515829,327,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-03,AE,-3.703480385,476,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-04,AE,-4.007706199,635,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-05,AE,-3.748362202,552,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-06,AE,-3.286344939,625,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-07,AE,-3.082332529,679,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-08,AE,-3.937455467,643,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-09,AE,-2.748618154,585,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-10,AE,-2.741376338,468,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-11,AE,-3.371572028,460,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-12,AE,-4.925157407,362,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-13,AE,-3.397304085,217,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-14,AE,-3.507814002,386,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-15,AE,-0.691593459,218,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-16,AE,-3.353747278,359,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-17,AE,-3.866775971,506,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-18,AE,-3.610737457,555,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-19,AE,-3.213269915,427,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-20,AE,-1.898168681,215,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-21,AE,-3.316284196,357,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-22,AE,-4.212840244,637,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-23,AE,-4.690893395,422,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-24,AE,-3.321565107,463,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-25,AE,-3.774067597,205,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-26,AE,-5.513487117,255,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-27,AE,-4.046167752,346,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-28,AE,-4.133789875,323,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-29,AE,-3.463624979,550,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-30,AE,-4.004009546,351,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-05-31,AE,-4.023022112,742,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-01,AE,-3.365433085,333,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-02,AE,-3.537680165,463,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-03,AE,-3.798448316,487,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-04,AE,-3.579988894,300,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-05,AE,-4.41967083,160,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-06,AE,-3.176649242,259,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-07,AE,-3.149868193,458,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-08,AE,-2.739921338,370,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-09,AE,-4.81223313,216,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-10,AE,-2.997591835,333,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-11,AE,-4.457318952,241,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-12,AE,-2.810048183,504,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-13,AE,-3.641672309,392,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-14,AE,-4.167594271,315,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-15,AE,-2.856152589,312,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-16,AE,-2.304351078,387,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-17,AE,-1.918609779,349,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-18,AE,-3.382203006,357,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-19,AE,-2.737468211,394,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-20,AE,-3.323171666,378,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
2022-06-21,AE,-4.136458149,327,United Arab Emirates,23.424076,53.847818,0,Western Asia,Asia
