Date,Word,% Monitored Articles
8/15/21,military exercise,0.0269
8/16/21,military exercise,0.0274
8/17/21,military exercise,0.0417
8/18/21,military exercise,0.0503
8/19/21,military exercise,0.0331
8/20/21,military exercise,0.0399
8/21/21,military exercise,0.0717
8/22/21,military exercise,0.0345
8/23/21,military exercise,0.0757
8/24/21,military exercise,0.0419
8/25/21,military exercise,0.0593
8/26/21,military exercise,0.0359
8/27/21,military exercise,0.0326
8/28/21,military exercise,0.0429
8/29/21,military exercise,0.0224
8/30/21,military exercise,0.0317
8/31/21,military exercise,0.0464
9/1/21,military exercise,0.0568
9/2/21,military exercise,0.0737
9/3/21,military exercise,0.0509
9/4/21,military exercise,0.0274
9/5/21,military exercise,0.0357
9/6/21,military exercise,0.0655
9/7/21,military exercise,0.0441
9/8/21,military exercise,0.0409
9/9/21,military exercise,0.0634
9/10/21,military exercise,0.134
9/11/21,military exercise,0.0996
9/12/21,military exercise,0.1572
9/13/21,military exercise,0.1053
9/14/21,military exercise,0.1859
9/15/21,military exercise,0.157
9/16/21,military exercise,0.1164
9/17/21,military exercise,0.0573
9/18/21,military exercise,0.0572
9/19/21,military exercise,0.0845
9/20/21,military exercise,0.0639
9/21/21,military exercise,0.0346
9/22/21,military exercise,0.0375
9/23/21,military exercise,0.0336
9/24/21,military exercise,0.0491
9/25/21,military exercise,0.0589
9/26/21,military exercise,0.0368
9/27/21,military exercise,0.0513
9/28/21,military exercise,0.0386
9/29/21,military exercise,0.0267
9/30/21,military exercise,0.0276
10/1/21,military exercise,0.0282
10/2/21,military exercise,0.0307
10/3/21,military exercise,0.0404
10/4/21,military exercise,0.0324
10/5/21,military exercise,0.0336
10/6/21,military exercise,0.0301
10/7/21,military exercise,0.0384
10/8/21,military exercise,0.0321
10/9/21,military exercise,0.036
10/10/21,military exercise,0.0247
10/11/21,military exercise,0.0205
10/12/21,military exercise,0.0205
10/13/21,military exercise,0.0286
10/14/21,military exercise,0.0373
10/15/21,military exercise,0.0533
10/16/21,military exercise,0.0445
10/17/21,military exercise,0.0333
10/18/21,military exercise,0.0765
10/19/21,military exercise,0.0469
10/20/21,military exercise,0.063
10/21/21,military exercise,0.0385
10/22/21,military exercise,0.0288
10/23/21,military exercise,0.0582
10/24/21,military exercise,0.058
10/25/21,military exercise,0.0361
10/26/21,military exercise,0.0279
10/27/21,military exercise,0.0253
10/28/21,military exercise,0.0338
10/29/21,military exercise,0.0153
10/30/21,military exercise,0.0187
10/31/21,military exercise,0.0703
11/1/21,military exercise,0.025
11/2/21,military exercise,0.0386
11/3/21,military exercise,0.0345
11/4/21,military exercise,0.0307
11/5/21,military exercise,0.0262
11/6/21,military exercise,0.0383
11/7/21,military exercise,0.052
11/8/21,military exercise,0.0349
11/9/21,military exercise,0.0239
11/10/21,military exercise,0.0371
11/11/21,military exercise,0.046
11/12/21,military exercise,0.075
11/13/21,military exercise,0.1423
11/14/21,military exercise,0.0539
11/15/21,military exercise,0.0862
11/16/21,military exercise,0.0408
11/17/21,military exercise,0.0368
11/18/21,military exercise,0.0467
11/19/21,military exercise,0.0606
11/20/21,military exercise,0.0445
11/21/21,military exercise,0.0685
11/22/21,military exercise,0.0383
11/23/21,military exercise,0.0576
11/24/21,military exercise,0.0612
11/25/21,military exercise,0.0525
11/26/21,military exercise,0.042
11/27/21,military exercise,0.0726
11/28/21,military exercise,0.0251
11/29/21,military exercise,0.0425
11/30/21,military exercise,0.0749
12/1/21,military exercise,0.0792
12/2/21,military exercise,0.0646
12/3/21,military exercise,0.0398
12/4/21,military exercise,0.0998
12/5/21,military exercise,0.0969
12/6/21,military exercise,0.0654
12/7/21,military exercise,0.0721
12/8/21,military exercise,0.0397
12/9/21,military exercise,0.0451
12/10/21,military exercise,0.0566
12/11/21,military exercise,0.0447
12/12/21,military exercise,0.028
12/13/21,military exercise,0.0227
12/14/21,military exercise,0.0414
12/15/21,military exercise,0.0379
12/16/21,military exercise,0.0893
12/17/21,military exercise,0.0758
12/18/21,military exercise,0.096
12/19/21,military exercise,0.0616
12/20/21,military exercise,0.0329
12/21/21,military exercise,0.056
12/22/21,military exercise,0.0407
12/23/21,military exercise,0.0798
12/24/21,military exercise,0.0652
12/25/21,military exercise,0.0872
12/26/21,military exercise,0.1178
12/27/21,military exercise,0.0719
12/28/21,military exercise,0.0503
12/29/21,military exercise,0.0814
12/30/21,military exercise,0.0797
12/31/21,military exercise,0.1482
1/1/22,military exercise,0.0535
1/2/22,military exercise,0.0242
1/3/22,military exercise,0.041
1/4/22,military exercise,0.0324
1/5/22,military exercise,0.0204
1/6/22,military exercise,0.0265
1/7/22,military exercise,0.08
1/8/22,military exercise,0.1646
1/9/22,military exercise,0.4573
1/10/22,military exercise,0.3161
1/11/22,military exercise,0.1774
1/12/22,military exercise,0.1679
1/13/22,military exercise,0.1002
1/14/22,military exercise,0.1195
1/15/22,military exercise,0.1157
1/16/22,military exercise,0.0787
1/17/22,military exercise,0.1462
1/18/22,military exercise,0.1402
1/19/22,military exercise,0.1548
1/20/22,military exercise,0.1512
1/21/22,military exercise,0.2156
